country,year,accessibility_percentage
AFG,2000,27.7719
AFG,2001,27.79726
AFG,2002,29.90076
AFG,2003,32.00507
AFG,2004,34.12623
AFG,2005,36.26526
AFG,2006,38.40636
AFG,2007,40.84418
AFG,2008,43.31506
AFG,2009,45.81909
AFG,2010,48.35636
AFG,2011,50.92731
AFG,2012,53.5317
AFG,2013,56.16964
AFG,2014,58.84123
AFG,2015,61.54693
AFG,2016,64.28648
AFG,2017,67.06462
ALB,2000,87.86662
ALB,2001,87.88955
ALB,2002,87.91309
ALB,2003,87.92893
ALB,2004,87.93703
ALB,2005,87.93683
ALB,2006,87.92856
ALB,2007,87.91208
ALB,2008,87.88725
ALB,2009,87.85342
ALB,2010,87.81129
ALB,2011,87.76034
ALB,2012,87.86044
ALB,2013,89.46109
ALB,2014,90.9812
ALB,2015,91.00102
ALB,2016,91.02037
ALB,2017,91.03923
DZA,2000,89.83726
DZA,2001,90.1146
DZA,2002,90.38717
DZA,2003,90.65481
DZA,2004,90.91754
DZA,2005,91.17525
DZA,2006,91.42819
DZA,2007,91.67622
DZA,2008,91.91957
DZA,2009,92.15714
DZA,2010,92.38947
DZA,2011,92.61646
DZA,2012,92.83835
DZA,2013,93.05519
DZA,2014,93.26727
DZA,2015,93.47459
DZA,2016,93.51585
DZA,2017,93.55589
AND,2000,100.0
AND,2001,100.0
AND,2002,99.99999
AND,2003,100.0
AND,2004,100.0
AND,2005,100.0
AND,2006,100.00001
AND,2007,100.0
AND,2008,100.0
AND,2009,100.0
AND,2010,100.0
AND,2011,99.99999
AND,2012,100.0
AND,2013,100.0
AND,2014,100.0
AND,2015,100.0
AND,2016,100.0
AND,2017,100.0
AGO,2000,41.14431
AGO,2001,42.25467
AGO,2002,43.3768
AGO,2003,44.36387
AGO,2004,45.35134
AGO,2005,46.33602
AGO,2006,47.15023
AGO,2007,47.96147
AGO,2008,48.7704
AGO,2009,49.57516
AGO,2010,50.37684
AGO,2011,51.17484
AGO,2012,51.96854
AGO,2013,52.75735
AGO,2014,53.54151
AGO,2015,54.31693
AGO,2016,55.08428
AGO,2017,55.8429
ATG,2000,98.25377
ATG,2001,98.13726
ATG,2002,98.02075
ATG,2003,97.90424
ATG,2004,97.78774
ATG,2005,97.67123
ATG,2006,97.55473
ATG,2007,97.43822
ATG,2008,97.32172
ATG,2009,97.20521
ATG,2010,97.08871
ATG,2011,96.9722
ATG,2012,96.85569
ATG,2013,96.73919
ATG,2014,96.73919
ATG,2015,96.73919
ATG,2016,96.73919
ATG,2017,96.73919
ARG,2000,96.21301
ARG,2001,96.46213
ARG,2002,96.70513
ARG,2003,96.94247
ARG,2004,97.17484
ARG,2005,97.40218
ARG,2006,97.62473
ARG,2007,97.84245
ARG,2008,98.05557
ARG,2009,98.26406
ARG,2010,98.46806
ARG,2011,98.66657
ARG,2012,98.86074
ARG,2013,98.93041
ARG,2014,99.00025
ARG,2015,99.07014
ARG,2016,99.07838
ARG,2017,
ARM,2000,95.13351
ARM,2001,95.4193
ARM,2002,95.7216
ARM,2003,96.03108
ARM,2004,96.343
ARM,2005,96.6573
ARM,2006,96.97412
ARM,2007,97.29336
ARM,2008,97.61513
ARM,2009,97.93934
ARM,2010,98.26605
ARM,2011,98.59529
ARM,2012,98.92704
ARM,2013,99.26163
ARM,2014,99.59326
ARM,2015,99.73441
ARM,2016,99.89854
ARM,2017,99.91338
AUS,2000,99.7123
AUS,2001,99.71124
AUS,2002,99.7122
AUS,2003,99.73435
AUS,2004,99.75634
AUS,2005,99.77814
AUS,2006,99.79977
AUS,2007,99.82125
AUS,2008,99.84255
AUS,2009,99.86367
AUS,2010,99.88462
AUS,2011,99.9054
AUS,2012,99.926
AUS,2013,99.94645
AUS,2014,99.96148
AUS,2015,99.97
AUS,2016,99.96997
AUS,2017,99.96993
AUT,2000,100.0
AUT,2001,100.0
AUT,2002,100.0
AUT,2003,100.0
AUT,2004,100.0
AUT,2005,100.0
AUT,2006,100.0
AUT,2007,100.0
AUT,2008,100.0
AUT,2009,100.0
AUT,2010,100.0
AUT,2011,100.0
AUT,2012,100.0
AUT,2013,100.0
AUT,2014,100.0
AUT,2015,100.0
AUT,2016,100.0
AUT,2017,100.0
AZE,2000,73.3805
AZE,2001,74.81776
AZE,2002,76.2676
AZE,2003,77.73052
AZE,2004,79.206
AZE,2005,80.69355
AZE,2006,82.19331
AZE,2007,83.70536
AZE,2008,85.22897
AZE,2009,85.91744
AZE,2010,86.606
AZE,2011,87.29395
AZE,2012,87.98087
AZE,2013,88.66653
AZE,2014,89.35028
AZE,2015,90.03168
AZE,2016,90.71031
AZE,2017,91.38574
BHS,2000,98.2455
BHS,2001,98.28826
BHS,2002,98.33102
BHS,2003,98.37379
BHS,2004,98.41655
BHS,2005,98.45932
BHS,2006,98.50208
BHS,2007,98.54485
BHS,2008,98.58761
BHS,2009,98.63037
BHS,2010,98.67314
BHS,2011,98.7159
BHS,2012,98.75867
BHS,2013,98.80143
BHS,2014,98.84419
BHS,2015,98.88696
BHS,2016,98.88696
BHS,2017,98.88696
BHR,2000,99.89794
BHR,2001,99.90804
BHR,2002,99.91813
BHR,2003,99.92822
BHR,2004,99.93832
BHR,2005,99.94841
BHR,2006,99.9585
BHR,2007,99.9686
BHR,2008,99.97869
BHR,2009,99.98878
BHR,2010,99.99888
BHR,2011,100.0
BHR,2012,100.0
BHR,2013,100.0
BHR,2014,100.0
BHR,2015,100.0
BHR,2016,100.0
BHR,2017,100.0
BGD,2000,95.21504
BGD,2001,95.38698
BGD,2002,95.5634
BGD,2003,95.73788
BGD,2004,95.91029
BGD,2005,96.00987
BGD,2006,96.10641
BGD,2007,96.19977
BGD,2008,96.28986
BGD,2009,96.37656
BGD,2010,96.45987
BGD,2011,96.53966
BGD,2012,96.61577
BGD,2013,96.68811
BGD,2014,96.75671
BGD,2015,96.82152
BGD,2016,96.88253
BGD,2017,97.01601
BRB,2000,98.32442
BRB,2001,98.33443
BRB,2002,98.34443
BRB,2003,98.35443
BRB,2004,98.36443
BRB,2005,98.37443
BRB,2006,98.38443
BRB,2007,98.39443
BRB,2008,98.40443
BRB,2009,98.41444
BRB,2010,98.42444
BRB,2011,98.43444
BRB,2012,98.44444
BRB,2013,98.45444
BRB,2014,98.46445
BRB,2015,98.47444
BRB,2016,98.48444
BRB,2017,98.49445
BLR,2000,99.29858
